Bydel,Køn,Aldersgruppe,Personer,Brutto,Kategori
Vanløse,Mænd,65 og derover,57,700.000 kr. og derover,10
Vanløse,Kvinder,15-19 ,711,-49.999 kr.,1
Vanløse,Kvinder,15-19 ,106,50.000-99.999 kr.,2
Vanløse,Kvinder,15-19 ,40,100.000-149.999 kr.,3
Vanløse,Kvinder,15-19 ,8,150.000-199.999 kr.,4
Vanløse,Kvinder,15-19 ,1,200.000-299.999 kr.,5
Vanløse,Kvinder,20-29 ,306,-49.999 kr.,1
Vanløse,Kvinder,20-29 ,562,50.000-99.999 kr.,2
Vanløse,Kvinder,20-29 ,796,100.000-149.999 kr.,3
Vanløse,Kvinder,20-29 ,790,150.000-199.999 kr.,4
Vanløse,Kvinder,20-29 ,735,200.000-299.999 kr.,5
Vanløse,Kvinder,20-29 ,526,300.000-399.999 kr.,6
Vanløse,Kvinder,20-29 ,93,400.000-499.999 kr.,7
Vanløse,Kvinder,20-29 ,19,500.000-599.999 kr.,8
Vanløse,Kvinder,20-29 ,5,600.000-699.999 kr.,9
Vanløse,Kvinder,30-64 ,320,-49.999 kr.,1
Vanløse,Kvinder,30-64 ,215,50.000-99.999 kr.,2
Vanløse,Kvinder,30-64 ,531,100.000-149.999 kr.,3
Vanløse,Kvinder,30-64 ,774,150.000-199.999 kr.,4
Vanløse,Kvinder,30-64 ,1588,200.000-299.999 kr.,5
Vanløse,Kvinder,30-64 ,2589,300.000-399.999 kr.,6
Vanløse,Kvinder,30-64 ,1729,400.000-499.999 kr.,7
Vanløse,Kvinder,30-64 ,818,500.000-599.999 kr.,8
Vanløse,Kvinder,30-64 ,299,600.000-699.999 kr.,9
Vanløse,Kvinder,30-64 ,288,700.000 kr. og derover,10
Vanløse,Kvinder,65 og derover,23,-49.999 kr.,1
Vanløse,Kvinder,65 og derover,76,50.000-99.999 kr.,2
